,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ES082508000571,13293,13239,12444,11329,7471,4145,4249,5381,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES082508000573,12616,11989,12118,10974,8705,8294,8345,7747,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES064008000362,19374,20390,22141,17428,9474,8916,8587,2703,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES012308000099,10733,12467,11397,9768,5114,4694,5615,2626,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES10121310780,,,,,,,,,11589,10928,11016,9824,9907,8001,6065
ES074508000420,29131,27132,24702,21698,12955,4717,6741,1709,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES012308000103,18853,19612,19956,12411,6171,3623,3587,2835,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES100308000686,10871,11231,10009,6103,955,1001,101,0,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES064908000365,4433,6449,6694,5322,1970,1009,1136,1152,529,0,,,,,
ES074508000421,11124,11692,11510,8249,7014,7502,6658,4961,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES060908000366,26736,18605,15248,14313,13551,14776,9638,10896,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES012308000123,57149,48497,63990,48505,12682,14023,8760,14503,7538,10192,8168,3077,15331,12091,12769
ES190108000953,20498,19826,18282,10912,3603,4472,2670,2087,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES071308000426,10549,8880,7920,3146,1912,1919,2230,1641,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES100308000688,9418,9728,8240,3403,1327,670,522,252,4274,4511,4031,4357,4815,5445,6802
ES033308000232,4722,6681,4554,3108,2702,10,4,2,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES074508000427,40545,42265,40632,26192,14685,15303,13813,12318,18877,19457,21365,20290,23258,23817,23794
ES10121310-736,,,,,,,,,12539,15732,16194,15958,14840,14916,14638
ES012308000963,,,17662,16435,8360,8493,9034,4814,7886,7056,7169,9386,10544,14233,10712
ES104608000689,19272,20135,16711,14031,5924,7879,2911,2791,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES070208000429,9109,10621,10612,7128,3100,3116,2993,1328,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES101201001131,,22549,34267,33943,34892,38996,41214,49537,149623,171711,170205,178747,182418,181610,184962
ES074508000430,16879,13626,11133,7390,6170,5637,6472,2660,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES064708000367,13253,10317,12438,10901,5564,6245,6348,6594,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES074508000411,10821,11311,9960,6493,6263,5641,5979,5924,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES080808000576,23262,20450,25026,13007,10510,6412,5450,1638,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES063408000368,6371,6576,4716,1222,929,216,237,228,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES10121310803,,,,,,,,,7813,7779,7126,6887,6869,6749,6620
ES121508000761,4303,5476,5887,5407,4866,5325,5210,4691,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES101201001132,,32586,25941,21301,20792,18477,14445,10184,48122,50060,49277,49642,53939,55725,33697
ES063408000369,14207,14148,13336,11956,8594,9311,7832,4758,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES012308000131,6371,4843,5755,3531,32,37,42,36,0,,,,,,
ES100308000690,22701,38641,38970,30701,9052,5036,7038,5474,4217,4260,3792,6425,6393,6412,6420
ES10121310886,,,,,,,,,3218,2586,2164,2466,4880,5579,904
ES183108000891,29811,27021,26013,16193,4059,8876,8601,9238,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES074508000431,23522,21622,23280,13870,8004,10311,10131,5778,0,,,,,,
ES183108000892,26515,21987,20801,14927,14307,17836,13043,13246,10713,8186,7557,10831,13212,15559,17400
ES100308000691,13714,13919,19962,14256,7536,8718,5163,4142,5781,7171,6330,7409,7027,11388,8862
ES101201001133,,18785,15094,11467,4973,2580,3450,3074,6805,5986,6249,6070,7536,7330,6211
ES123208000765,11203,10629,12554,7783,11758,9471,8324,3580,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES074508000433,5875,6768,6620,4868,3892,4089,3783,2354,690,0,,,,,
ES064708000371,14980,18508,18765,8044,11072,8139,7435,6704,3530,4461,5902,5300,8930,10100,8533
ES010408000087,16146,15576,13806,11693,9073,5268,4361,3333,2523,2506,4333,3650,6641,7510,6867
ES011808000088,2292,2625,1939,1656,600,94,173,87,0,,,,,,
ES05391316-4779,,,,,,,,,,,,1538,6,,
ES012908000089,12380,13287,11637,8125,2719,3699,2399,1711,143,573,593,599,217,,
ES123608000759,7800,8014,6784,3571,102,56,41,0,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES024408000200,11204,9916,10086,5137,798,0,0,0,0,,,,,,
ES062408000361,25657,26038,22671,19967,12781,12319,14400,15687,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES142608000816,31397,30530,24239,20811,11093,11844,11073,14243,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES014108000090,14995,10489,9666,6547,1127,1045,723,462,2472,2336,2264,2095,2064,2150,0
ES033308000229,2669,2639,2882,2847,2489,2875,2760,2650,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES033308000230,20463,19776,18996,19721,1705,2618,328,195,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES012308000091,22736,33334,43782,30093,19372,14072,16282,16764,10156,12925,10243,11570,7264,3451,0
ES012308000095,7140,5370,5408,2743,1678,923,489,332,259,0,,,,,
ES010408000094,37392,37028,36546,24673,11584,3235,4659,1642,703,0,,,,,
ES012308000106,4376,4330,4701,2666,1171,915,315,185,180,0,,,,,
ES012308000107,26454,42513,43029,21169,10503,9751,10755,9827,5024,708,2513,1929,8878,9465,10426
ES080808000574,23944,23120,22953,20586,17311,17541,19187,17507,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES100308000687,13019,13055,12819,9557,4508,4406,5041,1048,29152,24707,28221,35448,29078,30601,33836
ES01111304-2245,,,,,,,,,2396,925,0,,,,
ES123208000760,9710,10440,7569,5317,4411,3017,2527,1933,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES074508000423,21664,23627,18767,12759,7913,9555,10971,10016,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES012308000114,13180,12831,12858,10181,5939,3677,3144,3148,3425,2599,2644,2739,2614,3442,2513
ES074508000424,244,348,314,2432,198,109,91,95,74,70,138,149,142,140,135
ES074508000425,8097,9195,8268,3945,0,0,0,0,0,,,,,,
ES012308000134,28531,31740,27495,19410,7937,763,5133,4086,0,,,,,,
ES104608000693,16953,17924,14316,11605,5192,5704,4630,4637,6498,5800,9508,7441,8474,7676,10955
ES10121310-774,,,,,,,,,6788,5154,3988,4621,4522,3329,3573
ES104608000694,7225,6455,7958,2116,218,306,204,0,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES10121310-771,,,,,,,,,15853,19585,29016,26380,30162,28377,28715
ES080808000578,9934,10167,9231,8777,5694,4593,3477,2994,2026,2255,2491,2442,2813,3432,3688
ES025008000204,28459,25430,31727,17736,10721,6633,6717,1148,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES10121310-779,,,,,,,,,9297,8483,7985,7580,7935,8662,8432
ES104608000697,19286,22575,24628,18299,6765,5512,8480,5620,6159,4000,5929,7741,6451,7565,9176
ES10121310-852,,,,,,,,,2020,7397,8179,7527,6584,7360,14106
ES10121310-731,,,,,,,,,21676,17559,20437,20942,22374,13627,13205
ES10121310-876,,,,,,,,,12273,11765,12023,12871,9829,12282,11194
ES10121310-781,,,,,,,,,8630,9405,8987,9895,9882,6825,8144
ES080808000579,2342,3257,6905,4751,2423,1941,1071,1002,1106,689,512,722,1641,1398,1311
ES064908000372,21647,20525,17780,19736,12731,10140,9478,9648,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES071308000435,17298,14167,14037,5901,2212,1678,1364,579,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES071308000436,17209,19038,15757,11139,3551,3793,3324,1681,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES104608000698,14214,12823,16805,9526,2112,722,1457,98,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES10121310-1309,,,,,,,,,6283,6390,6232,6368,6464,1184,
ES071608000434,12176,15938,25396,17196,10056,9385,8569,7112,3365,6590,6287,8052,10280,11514,10866
ES08081310-918,,,,,,,,,16926,,,,,,
ES123608000766,27260,24747,27431,11753,12371,11042,10326,7121,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES173008000873,13183,11995,10341,6621,2232,2038,1229,2488,0,Not Reported,,,,,
ES121508000767,10881,11133,12625,8424,5372,5722,4595,16,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES10121310875,,,,,,,,,33724,26785,28471,27686,29252,33563,23510
ES101209000671,30243,30256,31128,23055,8994,9410,8845,9515,8193,7344,6798,6218,6475,6397,6372
ES025009000192,2468,2403,2470,2609,2574,2216,2134,2232,2348,2447,2586,2396,2420,2713,2868
ES10121311-390,,,,,,,,,14099,11997,12227,12175,11056,12217,11636
ES011809000064,176690,172385,177122,181168,178544,167342,169799,169099,166762,162598,158424,162601,166712,163042,181302
ES101208000623,37063,42127,45857,32803,17070,20685,28190,34571,31510,41007,60037,64845,78186,83576,96236
ES080809000959,47344,46697,48098,75897,106218,128482,127671,131207,135878,112600,127321,120946,129188,124570,126369
ES043801000301,183214,176373,179466,178914,193481,183507,135541,140575,83175,27187,0,,,,
ES101207000644,13119,12116,10857,9259,5332,5847,6458,4807,5979,8530,7740,5472,2902,6187,5205
ES101207000645,20270,15348,17730,16475,7659,11688,7385,21,0,,,,,,
ES10121310-733,,,,,,,,,17086,15020,16379,20588,23598,22963,20911
ES101207000646,79950,69672,69815,74839,65425,76792,76254,65819,69382,76128,71212,70208,77127,71053,68213
ES101207000647,21981,21039,21291,23391,18536,21687,20127,21802,22485,17821,16164,16433,14550,13556,12501
ES080808000585,11963,14263,18170,9563,4487,2011,2900,2051,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES025006000168,59951,56642,63381,86813,95430,93469,80711,80700,81940,97768,104902,83233,77398,52941,82759
ES080806000472,89462,95338,89969,83120,61073,72234,81820,60386,59828,59185,74126,61373,52695,61742,57654
ES152806000824,26466,14178,18068,4691,2141,567,1438,0,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES19201715-10,,,,,,,,,,,6419,7214,7423,7307,6723
ES10121310-862,,,,,,,,,26414,26562,27191,29681,31238,29943,29788
ES012102000072,1039824,959264,1034585,1068179,918159,1048422,1571704,1536670,1519842,1588753,1611734,1637655,1689255,1577590,1576687
ES011102000071,1703245,1716609,1655217,1686064,1641972,1584158,1548492,1590829,1600421,1622594,1696825,1615183,1553921,1641147,1494578
ES043802000302,481504,478961,470458,485299,418809,417576,332223,394552,245623,126550,56690,48586,31396,34313,32856
ES10120810-867,,,,,,,,,13958,14279,15034,15994,16731,17864,18000
ES192005000945,22433,21864,25171,20003,16972,17553,17087,15570,17497,17765,16550,15572,1426,,
ES192005000940,170715,140806,127135,124476,128790,97193,55037,18236,7857,,,,,,
ES152805000838,68305,61069,63346,61329,51133,49349,32246,29572,19011,23240,35067,38893,45663,43489,40931
ES01041311-52296,,,,,,,,,7986,16021,14495,21626,25774,30125,31642
ES10121310-739,,,,,,,,,19055,19631,20034,20196,19686,18332,19106
ES011809000065,4482,5225,4963,5878,6053,7882,7524,4222,4374,5228,5834,5636,6385,5014,4384
ES070207000464,93814,105296,106092,97558,105804,109986,122479,132616,126271,114231,120631,124287,124560,128803,123545
ES10121310888,,,,,,,,,14862,12814,12671,12830,12947,12762,12855
ES10121310889,,,,,,,,,9242,8571,8702,8694,14349,14896,15190
ES080805000563,266720,277375,286915,263837,236790,219772,210973,187998,182617,178735,192731,181292,184364,193602,199395
ES022209000191,6002,15925,14124,15806,16864,18012,18598,18177,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES064008000374,4305,3842,4722,2726,1743,975,1005,167,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES080809000560,7641,7632,8317,8474,7972,8335,8169,8187,877,3613,7752,7501,7945,8285,798
ES022208000207,8276,7810,8660,4042,137,305,239,1713,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES025006000169,68328,64760,52008,38198,35307,41119,42049,35580,37451,40425,43174,39205,37648,31803,40900
ES084301000492,22645,152864,216953,988259,959701,1063788,1019935,744910,857991,950378,1054571,995670,1027171,980509,987876
ES084301001093,,30625,46339,41232,44790,49808,42884,34853,71304,86467,83813,88809,84657,81420,100657
ES10121310734,,,,,,,,,6791,6508,6372,6391,9926,9794,10269
ES05392310-666,,,,,,,,,1921,1908,1884,2067,2149,1955,2143
ES024401000188,982336,947485,404548,834231,398515,144638,418959,390838,0,,,,,,
ES123609000751,44322,85378,81598,84823,85292,89787,89645,93968,100074,101195,92654,102569,93265,96666,89376
ES101207000655,25741,27375,33094,25394,25457,34506,31250,26104,27382,22890,23110,22997,22961,27829,23206
ES10461215-21233,,,,,,,,,,,3971,5564,4434,4412,4548
ES10121310792,,,,,,,,,4193,4370,3897,4969,5571,5217,3397
ES10121310-768,,,,,,,,,11166,9616,14392,16518,18164,17075,13966
ES10121312-67385,,,,,,,,,,7357,7162,7259,8111,8028,393
ES10121310-845,,,,,,,,,6173,5776,5607,5760,5608,843,7833
ES121508000768,33139,29020,33893,30986,12339,10188,8816,7498,6554,8651,8558,7798,4809,6832,5977
ES084301001078,,43505,47709,49850,23211,89754,88228,83145,135579,115454,118235,89620,88135,82467,83139
ES104601001139,,37594,35958,34499,28164,27308,28826,28618,34268,34316,32996,32663,33907,32116,31467
ES101207000648,8924,6870,6049,7468,5288,5693,5361,6931,7255,7237,7540,7232,7745,7649,7059
ES101207000649,81839,84910,71631,67964,44368,58626,57004,53771,48621,49088,47062,50088,48637,47497,51388
ES101207000650,35072,32105,20967,23228,8178,11662,10588,9499,9139,8361,8811,7981,9285,11236,8129
ES084309000553,8953,9344,8172,8259,5851,7005,7132,6824,7656,7304,6967,6692,6846,3249,
ES084309000975,8296,19390,33237,39382,38635,38532,38644,39944,40835,40646,40477,39580,39916,40845,40676
ES10121311235,,,,,,,,,1349,1143,1322,2150,2856,4556,7144
ES101208000625,52225,73136,74577,64774,39637,44750,51818,47861,45127,42303,49946,55316,60586,62409,62675
ES111008000719,12703,10886,9950,7938,5891,3949,5171,3923,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES19200616-52326,,,,,,,,,,,,7780,7454,7067,6349
ES19480615-51201,,,,,,,,,,,9141,9361,7659,6047,8231
ES101208000626,11632,12419,14135,15404,4704,8131,8276,6093,6552,6333,4681,6376,6236,5618,7867
ES110612-29141,,,,,,,,,8190,780,1089,1812,1535,1720,1481
ES02501519-3350,,,,,,,,,,,,,,1471,17725
ES033301001035,,5999,5448,7081,5619,8526,7183,7557,13254,10107,10182,8239,6211,8675,5609
ES10121310-727,,,,,,,,,6116,7083,7552,8230,8473,8487,7836
ES012908000960,39462,37378,48924,15012,6129,3402,2557,485,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES012908000136,20151,20176,11602,11990,1384,2439,919,288,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
ES18310610-659,,,,,,,,,44966,36251,38772,34567,35986,41062,39989
ES05391513-12225,,,,,,,,,2051,,,,,,
ES10121310856,,,,,,,,,6258,5947,6075,8590,7585,7427,7239
ES101207000651,38919,39113,37905,32074,35917,45074,51552,53248,54236,56869,51643,50511,48277,43812,41043
ES02220910-629,,,,,,,,,110544,106964,101544,84883,98731,98543,87594
ES05390611-43172,,,,,,,,,165671,169386,157570,157987,180428,161950,145337
ES12150910615,,,,,,,,,150871,177181,155707,154752,163098,144481,90481
ES12150910614,,,,,,,,,180080,185191,181701,174770,161438,207108,174244
ES12150910616,,,,,,,,,158358,162985,149980,138502,149428,172698,89862
ES012122052345,,,,,,,,,713806,767137,663274,692197,617423,726597,702428
ES03331910-33846,,,,,,,,,70331,41363,55198,36247,35950,37606,41870
ES07131910-905,,,,,,,,,466404,381475,405091,400150,444745,418093,439016
ES104601001137,,1328,707,801,615,544,553,446,46115,69646,43826,48208,42570,49036,44539
ES12362310-609,,,,,,,,,5702,6783,6077,6213,6289,6217,6576
ES121501000733,55341,36218,94626,105346,113733,95709,68722,61090,64438,89165,132014,135601,137307,136999,131467
ES101207000653,39997,37750,28067,23760,17496,21114,30152,25059,27620,27606,25407,26022,26634,28185,29334
ES08080610-919,,,,,,,,,24898,23275,22259,21306,22024,20694,16176
ES06091610-825,,,,,,,,,3745,3324,3255,3415,2417,2370,3015
ES011101001020,,160472,140191,168612,111154,105946,117235,125347,251812,255125,265143,255897,288253,264938,280857
ES192005000938,50251,60536,61033,49504,40325,29070,12916,0,23120,27671,26819,28173,26902,24900,22622
ES033306000210,434515,437292,499448,476208,342058,469701,465458,434794,623468,629011,636941,581715,598275,600149,533939
ES033306000212,1082666,1058794,1221004,909883,575848,641342,525776,575301,558417,661513,639691,644814,614621,599314,534801
ES192005000939,116508,108726,114709,93893,67107,86564,95930,102263,92208,101918,107130,102783,105486,106687,103520
ES012101001004,,206917,260062,244412,202880,205144,158409,152419,179192,163538,191044,190313,201319,207671,193274
ES192005000941,102164,126104,96184,75991,75107,81329,80974,75407,73125,83263,88322,19485,,,
ES121501000736,29035,21536,18595,1646,693,718,200,0,0,,,,,,
ES053905000314,142201,139082,140201,135156,122292,128328,133261,126827,133083,134108,141803,121035,124696,130667,126884
ES02501718-31339,,,,,,,,,,,,,,8295,10843
ES084309000536,21240,19705,20678,19297,18924,19170,18945,18532,19233,19559,19396,20244,18943,19719,18531
ES074508000440,11389,11164,11202,10861,3703,4702,4225,2448,4643,5409,3413,5647,5055,854,6011
ES024401001230,,,967,4181,2447,3050,2260,1041,894,578,855,775,710,843,882
ES024408000167,15077,14440,15076,11563,2746,6027,6255,4448,3178,4750,4398,4308,4360,5325,6026
ES02441310-628,,,,,,,,,5783,6114,6081,5941,5819,6175,6339
ES074508000382,11307,11093,11785,11900,11504,9874,12296,6875,7431,7007,6506,8148,5971,6367,6660
ES10121310848,,,,,,,,,1831,1510,0,,,,
ES101201001140,,26712,28178,27453,20873,20241,20243,17860,28171,33345,34170,34646,34908,34446,26173
ES10121310882,,,,,,,,,14757,14294,13959,14267,14703,14858,16932
ES10121310883,,,,,,,,,4037,,,,,,
ES10121316-44337,,,,,,,,,,,,1852,3532,3427,3385
ES183107000894,127432,98578,102290,116143,114088,115245,116206,115885,115930,113548,113835,119300,122670,124239,122510
ES190107000955,137535,132578,130682,130117,121698,131758,106710,123328,113666,97832,96582,105051,105543,110107,109126
ES080809000537,4332,6455,6560,5726,5400,4368,2032,5230,5025,4599,4740,5334,5228,6047,5114
ES10121310-872,,,,,,,,,5095,21428,22591,23447,22107,21247,22004
ES10121315-64089,,,,,,,,,,,799,26779,37533,42445,38652
ES10121311-34062,,,,,,,,,28795,30315,29824,30371,31773,28658,28584
ES10121311-27625,,,,,,,,,11103,11030,10362,9427,6637,12255,13381
ES1012131150932,,,,,,,,,9002,2975,5615,0,,,
